Name,Gender,Region
Alexander,m,suedeuropaeisch 
Alexis,m,suedeuropaeisch 
Amadeus,m,suedeuropaeisch 
Anton,m,suedeuropaeisch 
Arthur,m,westeuropaeisch 
Avan,m,asiatisch 
Baris,m,arabisch 
Basil,m,suedeuropaeisch 
Bastian,m,suedeuropaeisch 
Bekir,m,arabisch 
Ben,m,hebraeisch 
Benedikt,m,suedeuropaeisch 
Benjamin,m,hebraeisch 
Bennet,m,lateinisch 
Benno,m,westeuropaeisch 
Bent,m,lateinisch 
Bernd,m,westeuropaeisch 
Bilal,m,arabisch 
Birk,m,nordisch 
Bjarne,m,nordisch 
Björn,m,nordisch 
Bodo,m,westeuropaeisch 
Boris,m,osteuropaeisch 
Bosse,m,westeuropaeisch 
Bruno,m,westeuropaeisch 
Bryan,m,nordisch 
Béla,m,osteuropaeisch 
Caesar,m,lateinisch 
Carlo,m,westeuropaeisch 
Caspar,m,arabisch 
Cedric,m,westeuropaeisch 
Chris,m,lateinisch 
Christian,m,suedeuropaeisch 
Christoph,m,suedeuropaeisch 
Claas,m,westeuropaeisch 
Claudio,m,lateinisch 
Claudius,m,suedeuropaeisch 
Clemens,m,lateinisch 
Colin,m,suedeuropaeisch westeuropaeisch 
Cornelius,m,suedeuropaeisch 
Cristiano,m,lateinisch 
Damian,m,lateinisch suedeuropaeisch 
Danial,m,hebraeisch 
Daniel,m,hebraeisch 
Dante,m,lateinisch 
Darius,m,arabisch 
David,m,hebraeisch 
Denis,m,suedeuropaeisch 
Dirk,m,westeuropaeisch 
Dominik,m,suedeuropaeisch 
Douglas,m,hebraeisch 
Eduard,m,westeuropaeisch 
Eike,m,westeuropaeisch 
Elias,m,hebraeisch 
Eliot,m,westeuropaeisch 
Emanuel,m,hebraeisch 
Emil,m,suedeuropaeisch 
Enzo,m,suedeuropaeisch 
Erik,m,nordisch 
Fabian,m,suedeuropaeisch 
Fabio,m,suedeuropaeisch 
Falk,m,westeuropaeisch 
Fang,m,asiatisch 
Farid,m,arabisch 
Felix,m,suedeuropaeisch 
Ferdinand,m,westeuropaeisch 
Findus,m,westeuropaeisch 
Finjas,m,nordisch 
Finley,m,nordisch 
Finn,m,nordisch 
Firat,m,arabisch 
Florens,m,lateinisch 
Florian,m,suedeuropaeisch 
Florin,m,lateinisch 
Floyd,m,nordisch 
Frank,m,westeuropaeisch 
Fridolin,m,westeuropaeisch 
Fritz,m,westeuropaeisch 
Frédéric,m,westeuropaeisch 
Fudo,m,asiatisch 
Gabriel,m,hebraeisch 
Geert,m,nordisch westeuropaeisch 
Gent,m,osteuropaeisch suedeuropaeisch 
Geoffrey,m,westeuropaeisch 
Georg,m,suedeuropaeisch 
George,m,suedeuropaeisch westeuropaeisch 
Gerald,m,westeuropaeisch 
Gerd,m,westeuropaeisch 
Gerhard,m,westeuropaeisch 
Gerit,m,westeuropaeisch 
Ghazi,m,arabisch 
Gideon,m,hebraeisch 
Gido,m,westeuropaeisch 
Giorgio,m,suedeuropaeisch 
Gisbert,m,westeuropaeisch 
Glenn,w,nordisch 
Gonzales,m,suedeuropaeisch 
Gordon,m,nordisch 
Gregor,m,suedeuropaeisch 
Grigori,m,osteuropaeisch suedeuropaeisch 
Grischa,m,osteuropaeisch suedeuropaeisch 
Guido,m,suedeuropaeisch westeuropaeisch 
Guillaume,m,westeuropaeisch 
Gunnar,m,westeuropaeisch 
Gustav,m,nordisch 
Gérard,m,westeuropaeisch 
Gérôme,m,suedeuropaeisch 
Götz,m,westeuropaeisch 
Hagen,m,westeuropaeisch 
Hannes,m,hebraeisch 
Hanno,m,hebraeisch 
Hans,m,hebraeisch 
Harry,m,westeuropaeisch 
Haru,m,asiatisch 
Hayo,m,westeuropaeisch 
Heiko,m,westeuropaeisch 
Hektor,m,suedeuropaeisch 
Hendrik,m,westeuropaeisch 
Henri,m,westeuropaeisch 
Holger,m,nordisch 
Horst,m,westeuropaeisch 
Hugo,m,
Ian,m,westeuropaeisch 
Idris,m,arabisch 
Ike,m,hebraeisch osteuropaeisch 
Ilay,m,arabisch suedeuropaeisch 
Ilias,m,arabisch suedeuropaeisch 
Immanuel,m,hebraeisch 
Ingmar,m,nordisch westeuropaeisch 
Ingo,m,westeuropaeisch 
Isaak,m,hebraeisch 
Isaiah,m,hebraeisch 
Ismael,m,hebraeisch 
Ivan,m,hebraeisch 
Jakob,m,hebraeisch 
Jan,m,westeuropaeisch 
Johannes,m,hebraeisch 
Jonas,m,hebraeisch 
Jonathan,m,hebraeisch 
Josef,m,hebraeisch 
Julian,m,suedeuropaeisch 
Julius,m,suedeuropaeisch 
Karl,m,westeuropaeisch 
Kilian,m,westeuropaeisch 
Klaus,m,
Konstantin,m,suedeuropaeisch 
Korbinian,m,westeuropaeisch 
Lars,m,nordisch 
Laurin,m,lateinisch 
Leandro,m,suedeuropaeisch 
Leif,m,nordisch 
Lennard,m,westeuropaeisch 
Lennox,m,westeuropaeisch 
Lenny,m,westeuropaeisch 
Leo,m,suedeuropaeisch 
Leon,m,
Leonardo,m,suedeuropaeisch 
Lewin,m,westeuropaeisch 
Liam,m,hebraeisch westeuropaeisch 
Lias,m,hebraeisch 
Liem,m,asiatisch 
Linus,m,suedeuropaeisch 
Louis,m,westeuropaeisch 
Luca,m,suedeuropaeisch 
Luciano,m,suedeuropaeisch 
Lucien,m,lateinisch 
Ludger,m,westeuropaeisch 
Lukas,m,suedeuropaeisch 
Magnus,m,lateinisch nordisch westeuropaeisch 
Maik,m,hebraeisch westeuropaeisch 
Malte,m,westeuropaeisch 
Manuel,m,hebraeisch 
Marcel,m,lateinisch suedeuropaeisch westeuropaeisch 
Marco,m,lateinisch suedeuropaeisch westeuropaeisch 
Marek,m,lateinisch osteuropaeisch 
Marian,m,lateinisch osteuropaeisch 
Mario,m,lateinisch suedeuropaeisch westeuropaeisch 
Mark,m,westeuropaeisch 
Markus,m,lateinisch westeuropaeisch 
Marlon,m,lateinisch westeuropaeisch 
Marten,m,lateinisch nordisch 
Martin,m,suedeuropaeisch 
Marvin,m,westeuropaeisch 
Mats,m,hebraeisch 
Matteo,m,hebraeisch suedeuropaeisch 
Mattheo,m,hebraeisch suedeuropaeisch 
Matthias,m,hebraeisch 
Maurice,m,lateinisch suedeuropaeisch 
Mauro,m,lateinisch suedeuropaeisch 
Max,m,lateinisch westeuropaeisch 
Maximilian,m,suedeuropaeisch 
Melchior,m,hebraeisch westeuropaeisch 
Melvin,m,westeuropaeisch 
Merlin,m,nordisch westeuropaeisch 
Michael,m,hebraeisch 
Michel,m,hebraeisch westeuropaeisch 
Milan,m,osteuropaeisch 
Milos,m,osteuropaeisch 
Moritz,m,suedeuropaeisch 
Nathan,m,hebraeisch 
Nemo,m,suedeuropaeisch 
Nikolaus,m,suedeuropaeisch 
Nilay,m,asiatisch 
Noah,m,hebraeisch 
Noel,m,suedeuropaeisch 
Odin,m,nordisch 
Oke,m,westeuropaeisch 
Oktavian,m,lateinisch westeuropaeisch 
Olaf,m,nordisch 
Olavi,m,nordisch 
Ole,m,nordisch 
Oleg,m,osteuropaeisch 
Olek,m,osteuropaeisch 
Oli,m,westeuropaeisch 
Oliver,m,westeuropaeisch 
Omar,m,arabisch 
Omid,m,arabisch 
Onni,m,nordisch 
Onur,m,arabisch 
Orin,m,osteuropaeisch 
Orlando,m,suedeuropaeisch 
Oskar,m,westeuropaeisch 
Otis,m,westeuropaeisch 
Ottelo,m,westeuropaeisch 
Otto,m,westeuropaeisch 
Owen,m,westeuropaeisch 
Pablo,m,lateinisch 
Paddy,m,lateinisch 
Paolo,m,suedeuropaeisch 
Pascal,m,suedeuropaeisch 
Patrick,m,suedeuropaeisch 
Paul,m,suedeuropaeisch 
Paulo,m,lateinisch 
Pedro,m,suedeuropaeisch 
Pepe,m,hebraeisch 
Per,m,suedeuropaeisch 
Percival,m,westeuropaeisch 
Peter,m,suedeuropaeisch 
Phil,m,suedeuropaeisch 
Philipp,m,suedeuropaeisch 
Pietro,m,suedeuropaeisch 
Pius,m,lateinisch 
Polan,m,arabisch 
Preston,m,westeuropaeisch 
Primus,m,lateinisch 
Quentin,m,suedeuropaeisch 
Quirin,m,suedeuropaeisch 
Raphael,m,hebraeisch 
Ricardo,m,suedeuropaeisch 
